responsum responsa
rete retia
retiarius retiarii
reticulum reticula
retina retinae
retinaculum retinacula
rhabdomyoma rhabdomyomata
rhachis rachides rhachises rhachides rachis
rhinencephalon rhinencephala
rhizobium rhizobia
rhombus rhombi
rhonchus rhonchi
rhyton rhyta
ribbonfish ribbonfishes
ricercare ricercari ricercacari
rickettsia rickettsiae
rilievo rilievi
rima rimae
rockfish rockfishes
rom roma
rondeau rondeaux
rosarium rosaria
rosefish rosefishes
rostellum rostella
rostrum rostra
rotl artal artel
rouleau rouleaux
ruga rugae
rumen rumina
sacrarium sacraria
sacrum sacra
sahuaro saguaros saguaro
sailfish sailfishes
salesperson salespeople
salmonella salmonellae
salpa salpae
salpinx salpinges
saltarello saltarelli
salvo salvoes
sanctum sancta
sanitarium sanitaria
santims santimi
saphena saphenae
sarcophagus sarcophagi
sartorius sartorii
sassanid sassanidae
sawfish sawfishes
scaldfish scaldfishes
scalenus scaleni
scapula scapulae
scarabaeus scarabaei
scarf scarves
schema schemata
scherzando scherzandi
scherzo scherzi
schmo schmoes
scholium scholia
schul schuln
schutzstaffel schutzstaffeln
scirrhus scirrhi
scleroma scleromata
sclerosis scleroses
sclerotium sclerotia
scolex scoleces scolices
scopula scopulae
scoria scoriae
scotoma scotomata
scriptorium scriptoria
scrotum scrota
scudo scudi
scutellum scutella
scutum scuta
scyphistoma scyphistomae
scyphozoan scyphozoa
scyphus scyphi
secondo secondi
segno segni
seleucid seleucidae
self selves
senor senores
sensillum sensilla
sent senti
sente lisente listente
senussi senussis senusi
separatrix separatrices
sephardi sephardim
septarium septaria
septennium septennia
septum septa
sequela sequelae
sequestrum sequestra
seraph seraphim
serum sera
sestertium sestertia
seta setae
sgraffito sgraffiti
shabbas shabbasim
shabbat shabbatim
shacko shackoes
shadchan schatchonim shadchans schatchen shadchanim
shako shakoes
shammes shammas shammosim
sheaf sheaves
sheatfish sheatfishes
shelf shelves
shellfish shellfishes
shinleaf shinleaves
shittah shittim
shmo shmoes
shophar shofroth shofar shophroth
shrewmouse shrewmice
shul shuln
siddur siddurim
siglos sigloi
signora signore
signore signori signior
signorina signorine
siliqua siliquae
silva silvae
